															
															
#	Fire Spells		Res	Short Name	A	X	M	Spell Description	Normal	Expert	Master				
63	8	Umnachtung	Magic	Umnacht	15	15	15	Umnachtung beraubt ein Ziel seiner Fähigkeit, Zaubersprüche auszusprechen, bis der Zauberspruch verbraucht ist. Die Dauer dieses Zauberspruchs ist 5 Minuten pro Fähigkeitspunkt in Geistesmagie.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
64	9	Irrsinn heilen	none	IrrsnHeil	20	20	20	"Heilt Irrsinn, wenn rechtzeitig ausgesprochen. Je höher die Fähigkeit und der Rang in Geistesmagie sind, desto länger kann der Irrsinn des Charakters vorher angehalten haben, bis ""nichts mehr geht"". Danach ist der Besuch eines Tempels die einzige Möglichkeit außer Gottes Eingriff, den Zustand zu entfernen."	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt irrsinnig	Nur dann, wenn weniger als 1 Stunde pro Fähigkeitspunkt irrsinnig	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt irrsinnig				
65	10	Hirnschlag	Magic	Hirnschl	25	25	25	Ähnlich dem Zauberspruch Nervenschock zielt Hirnschlag auf eine einzelne Kreatur mit Magie, die dem Geist schadet, allerdings mit größerer Wirkung. Hirnschlag richtet 14 Schadenpunkte an plus 1-14 pro Fähigkeitspunkt in Geistesmagie.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
66	11	Telekinese	none	Telekin	30	30	30	Telekinese läßt Dich ein entferntes Objekt mit einer Stärke manipulieren, die den Fähigkeitspunkten in Geistesmagie entspricht. Mit diesem Zauberspruch kannst Du Schalter umlegen, Objekte aufheben oder Türen öffnen, alles aus einem schön sicheren Abstand zu diesen bösen Fallen.	Stärke der Wirkung ist 1 Punkt pro Fähigkeitspunkt	Stärke der Wirkung ist 2 Punkte pro Fähigkeitspunkt	Stärke der Wirkung ist 3 Punkte pro Fähigkeitspunkt				
	Body Spells		Res					Spell Description							
67	1	Schwäche heilen	none	SchwHl	1	1	1	"Heilt den Zustand Schwäche, wenn rechtzeitig ausgesprochen. Je höher die Fähigkeit und der Rang in Körpermagie sind, desto länger kann die Schwäche des Charakters vorher angehalten haben, bis ""nichts mehr geht"". Danach ist der Besuch eines Tempels die einzige Möglichkeit außer Gottes Eingriff, den Zustand zu entfernen."	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt geschwächt	Nur dann, wenn weniger als 1 Stunde pro Fähigkeitspunkt geschwächt	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt geschwächt				
68	2	Erste Hilfe	none	ErstHilfe	2	2	2	Heilt 5 Trefferpunkte eines einzelnen Ziels. Die Erholung wird verkürzt um einen Betrag, der der Fähigkeit des Aussprechenden in Körpermagie entspricht.	Heilt 5 Trefferpunkte	Heilt 7 Trefferpunkte	Heilt 10 Trefferpunkte				
69	3	Schutz vor Gift	none	SchzGift	3	3	3	Steigert die Resistenz all Deiner Charaktere gegen Gift um einen Betrag, der Deiner Fähigkeit in Körpermagie entspricht.	10 Punkte Resistenz	20 Punkte Resistenz 	40 Punkte Resistenz					
70	4	Bolzen	Phys	Bolzen	4	4	4	Fügt einer einzelnen Kreatur direkt physischen Schaden zu. Bolzen richtet 4 Schadenpunkte an plus 1-4 pro Fähigkeitspunkt in Körpermagie.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
71	5	Wunden heilen	none	WndHeil	5	5	5	Heilt Trefferpunkte eines einzelnen Ziels. Die Anzahl der geheilten Punkte entspricht fünf plus 2 pro Fähigkeitspunkt in Körpermagie.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
72	6	Gift heilen	none	GiftHeil	8	8	8	"Heilt Vergiftungen, wenn rechtzeitig ausgesprochen. Je höher die Fähigkeit und der Rang in Körpermagie sind, desto länger kann der Charakter vorher vergiftet gewesen sein, bis ""nichts mehr geht"". Danach ist der Besuch eines Tempels die einzige Möglichkeit außer Gottes Eingriff, den Zustand zu entfernen."	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt vergiftet	Nur dann, wenn weniger als 1 Stunde pro Fähigkeitspunkt vergiftet	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt vergiftet				
73	7	Reaktion	none	Reaktion	10	10	10	Steigert vorübergehend das Attribut Reaktion eines einzelnen Charakters um 10 Punkte plus 2 pro Fähigkeitspunkt in Körpermagie.	Steigert Reaktion um 10 Punkte plus 2 pro Fähigkeitspunkt	Steigert Reaktion um 10 Punkte plus 3 pro Fähigkeitspunkt	Zauberspruch betrifft ganze Gruppe				
74	8	Krankheit heilen	none	KrnkHeil	15	15	15	"Heilt das Kranksein eines Charakters, wenn rechtzeitig ausgesprochen. Je höher die Fähigkeit und der Rang in Körpermagie sind, desto länger kann der Charakter vorher krank gewesen sein, bis ""nichts mehr geht"". Danach ist der Besuch eines Tempels die einzige Möglichkeit außer Gottes Eingriff, den Zustand zu entfernen."	Nur dann, wenn weniger als 3 Minuten pro Fähigkeitspunkt erkrankt	Nur dann, wenn weniger als 1 Stunde pro Fähigkeitspunkt erkrankt	Nur dann, wenn weniger als 1 Tag pro Fähigkeitspunkt erkrankt				
75	9	Kraft	none	Kraft	20	20	20	Steigert vorübergehend die Attribute Stärke und Ausdauer eines einzelnen Charakters um 10 Punkte plus 2 pro Fähigkeitspunkt in Körpermagie.	Steigert Stärke und Ausdauer um 10 Punkte plus 2 pro Fähigkeitspunkt	Steigert Stärke und Ausdauer um 10 Punkte plus 3 pro Fähigkeitspunkt	Zauberspruch betrifft ganze Gruppe				
76	10	Fliegende Faust	Phys	FlgFaust	25	25	25	Fliegende Faust schleudert schwere physische Gewalt auf einen einzelnen Gegner, die 14 Schadenpunkte plus 1-14 pro Fähigkeitspunkt in Körpermagie anrichtet.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
77	11	Kraftheilung	none	Kraftheil	30	30	30	Heilt Trefferpunkte aller Charaktere in Deiner Gruppe auf einmal. Die Anzahl der geheilten Trefferpunkte beträgt 10 plus 2 pro Fähigkeitspunkt in Körpermagie.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
	Light Spells		Res					Spell Description							
78	1	Fast Food	none	Ffood	20	20	20	Stellt Nahrung für alle Deine Charaktere her, wenn Du weniger echte Nahrung hast, als durch diesen Zauberspruch hergestellt werden kann.	Stellt 1 Tag + 1 Tag pro 10 Fähigkeitspunkte her	Stellt 1 Tag + 2 Tage pro 10 Fähigkeitspunkte her	Stellt 1 Tag + 3 Tage pro 10 Fähigkeitspunkte her				
79	2	Goldfinger	none	Goldfing	25	25	25	Verwandelt einen einzelnen Gegenstand zu Gold, den Du in Deinem Inventory auswählst. Die Menge entspricht 40% des eigentlichen Werts des Gegenstands. Die Wahrscheinlichkeit, daß dieser Zauberspruch gelingt, beträgt 10% pro Fähigkeitspunkt in Lichmagie. Wenn der Zauberspruch mißlingt, geht der Gegenstand kaputt.	Verwandelt Gegenstand zu 40% Gold	Verwandelt Gegenstand zu 60% Gold	Verwandelt Gegenstand zu 80% Gold				
80	3	Magie vertreiben	none	MagVert	30	30	30	Entfernt bei allen Kreaturen im Sichtfeld des Zaubernden alle Zaubersprüche, sowohl nützliche als auch schädliche. Die Erholung wird um einen Betrag, der der Fähigkeit in Lichtmagie entspricht, reduziert.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
81	4	Verlangsamen	Magic	Verlangs	35	35	35	Halbiert die Laufgeschwindigkeit und verdoppelt die Erholungsrate eines einzelnen Monsters. Verlangsamen sorgt dafür, daß Dich ein Monster halb so oft angreift und Dich schwieriger verfolgen kann, falls Du flüchten solltest. Die Dauer dieses Zauberspruchs ist 3 Minuten pro Fähigkeitspunkt in Lichtmagie.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
82	5	Untote vernichten	Magic	UntVern	40	40	40	Ruft die Kraft des Himmels herbei, um die böse Magie zu entzaubern, die das Leben der Untoten verlängert, und richtet bei einem einzelnen, unglücklichen Ziel 40 Schadenpunkte plus 1-40 pro Fähigkeitspunkt in Lichtmagie an. Dieser Zauberspruch funktioniert nur bei Untoten.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
83	6	Tag der Götter	none	TagGöttr	45	45	45	Wendet gleichzeitig Kraft, Meditation, Reaktion, Glückstag, Präzision und Schutzengel an. Tag der Götter wird entsprechend Deiner Fähigkeit in Lichtmagie angewendet.	Alle Zaubersprüche werden mit doppelter Lichtmagie-Fähigkeit angewendet	Alle Zaubersprüche werden mit dreifacher Fähigkeit angewendet	Alle Zaubersprüche werden mit vierfacher Fähigkeit angewendet				
84	7	Prismenfeuer	Fire	Prismfeu	50	50	50	Richtet 7 Schadenpunkte plus 1-7 pro Fähigkeitspunkt in Lichtmagie bei allen Kreaturen im Sichtfeld an. Dieser Zauberspruch kann nur in geschlossenen Räumen angewendet werden.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
85	8	Stunde der Kraft	none	StdKraft	55	55	55	Wendet gleichzeitig Eile, Heldentum, Schild, Steinhaut und Segen auf all Deine Charaktere an.	Alle Zaubersprüche werden  mit doppelter Lichtmagie-Fähigkeit angewendet	Alle Zaubersprüche werden mit dreifacher Fähigkeit angewendet	Alle Zaubersprüche werden mit vierfacher Fähigkeit angewendet				
86	9	Lähmen	Magic	Lähmen	60	60	60	Lähmen hindert ein Monster für die (kurze) Dauer des Zauberspruchs von 1 Minute pro Fähigkeitspunkt in Lichtmagie daran, sich zu bewegen oder anzugreifen. Es steht Dir frei, Dein hilfloses Opfer anzugreifen, bis Dein Herz befriedigt ist - gelähmte Monster wehren sich nicht.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
87	10	Solarstrahl	Fire	Solarstrl	65	65	65	Solarstrahl ist der Zauberspruch mit der zweitstärksten Verwüstung in diesem Spiel. Er konzentriert das Licht der Sonne auf eine elende Kreatur. Da Solarstrahl das Licht der Sonne bündeln muß, funktioniert er nur im Freien und tagsüber. Solarstrahl richtet 50 Schadenpunkte plus 1-50 pro Fähigkeitspunkt in Lichtmagie an.	Sehr langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
88	11	Gottes Eingriff	none	GottEing	70	70	70	Einmal am Tag, während der aufgehenden oder untergehenden Sonne, kannst Du den Himmel anrufen, um Deine Charaktere von ihrem Schaden zu heilen, ihre Zauberpunkte wiederherzustellen und alle widrigen Zustände zu entfernen. Die Götter verlangen aber ihren Preis, denn der Zaubernde altert nach Gottes Eingriff um 10 Jahre. Die Erholung von diesem Zauberspruch wird durch Lichtmagie-Fähigkeiten verkürzt.	Nur einmal pro Tag	Nur zweimal pro Tag	Nur dreimal pro Tag				
	Dark Spells		Res					Spell Description							
89	1	Wiederbeleben	none	Wiedbel	20	20	20	Wiederbeleben erlaubt Dir, eine leblose Kreatur von den Toten auferstehen zu lassen. Der Zauberspruch bewirkt nicht, daß sie dafür dankbar oder friedlich wären, aber Du kannst Sie jederzeit wieder töten, wenn Du willst.	Kreatur erhält 10 Trefferpunkte pro Fähigkeitspunkt	Kreatur erhält 20 Trefferpunkte pro Fähigkeitspunkt	Kreatur erhält 30 Trefferpunkte pro Fähigkeitspunkt				
90	2	Giftwolke	Pois	Giftwolke	30	30	30	Eine giftige Wolke schädlicher Gase wird vor dem Zaubernden gebildet und bewegt sich langsam von Deinen Charakteren fort. Die Wolke richtet 15 Schadenpunkte plus 1-15 pro Fähigkeitspunkt in Schattenmagie an und dauert so lange, bis etwas hineinläuft.	Mittlere Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
91	3	Massenfluch	Magic	Mssfluch	40	40	40	Versetzt alle Monster im Sichtfeld des Zaubernden in den Zustand Verflucht.	Dauert 1 Minute pro Fähigkeitspunkt	Dauert 2 Minuten pro Fähigkeitspunkt	Dauert 4 Minuten pro Fähigkeitspunkt				
92	4	Schrapnell	Phys	Schrapnl	50	50	50	Feuert vor dem Aussprechenden eine Welle heißen, zerklüfteten Metalls ab, das jede Kreatur trifft, die ihm in den Weg kommt. Jedes Stück fügt 5 Schadenpunkte zu plus 1-5 pro Fähigkeitspunkt in Schattenmagie.	Mittlere Erholungsrate und 3 Fragmente	Schnellere Erholungsrate und 5 Fragmente	Schnellste Erholungsrate und 7 Fragmente				
93	5	Schrumpfstrahl	Magic	Schrmpf	60	60	60	Schrumpft sogar die größten Monster auf verträglichere Größe. Dieser Zauberspruch dauert 5 Minuten pro Fähigkeitspunkt in Schattenmagie. Ein geschrumpftes Monster richtet die Hälfte, ein Drittel oder ein Viertel seines normalen Schadenwerts an.	Reduziert Monstergröße auf halbe Normalgröße	Reduziert Monstergröße auf ein Drittel der Normalgröße	Reduziert Monstergröße auf ein Viertel der Normalgröße				
94	6	Tag des Schutzes	none	TagSchtz	70	70	70	Wendet gleichzeitig Schutz vor Feuer, Elektrizität, Kälte, Gift und Magie plus Federfall und Magisches Auge auf alle Deine Charaktere entsprechend Deiner Fähigkeit in Schattenmagie an.	Alle Zaubersprüche werden  mit doppelter Schattenmagie-Fähigkeit angewendet	Alle Zaubersprüche werden mit dreifacher Fähigkeit angewendet	Alle Zaubersprüche werden mit vierfacher Fähigkeit angewendet				
95	7	Finger des Todes	Magic	FingTod	80	80	80	Versucht auf der Stelle, eine einzelne Kreatur zu töten, indem ihr die Seele aus dem Körper gerissen wird. Finger des Todes hat eine Trefferwahrscheinlichkeit von 3% pro Fähigkeitspunkt in Schattenmagie, beziehungsweise 4% und 5% für Experten und Meister.	3%ige Erfolgschance pro Fähigkeitspunkt in Schattenmagie	4%ige Erfolgschance pro Fähigkeitspunkt in Schattenmagie	5%ige Erfolgschance pro Fähigkeitspunkt in Schattenmagie				
96	8	Mondstrahl	Magic	Mondstrl	90	90	90	Ein wirkungsvoller Schattenzauberspruch. Mondstrahl heilt Deine Charaktere und beschädigt alle Monster im Sichtfeld. Er kann nicht viel Schaden anrichten oder Zustände heilen, aber er ist der einzige Zauberspruch, der allen Monstern im Sichtfeld schadet. Mondstrahl funktioniert nur im Freien und bei Nacht. Alle Monster erleiden 1-4 Schadenpunkte pro Fähigkeitspunkt in Schattenmagie, und alle Charaktere werden um 1-4 Trefferpunkte pro Fähigkeitspunkt in Schattenmagie geheilt.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
97	9	Drachenhauch	Fire	Drhauch	100	100	100	Drachenhauch befähigt den Aussprechenden zum Ausatmen einer Wolke aus toxischen Gasen, die auf ein einzelnes Monster zielt und allen Kreaturen in der Nähe schadet. Dieser Zauberspruch ist der mächtigste Schadenzauberspruch des Spiels. Er richtet 20 plus 1-20 Schadenpunkte pro Fähigkeitspunkt in Schattenmagie an.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
98	10	Armageddon	Magic	Armgdon	150	150	150	Dieser Zauberspruch ist der Stadtkiller. Er kann nur einmal am Tag von Lehrlingen der Schattenmagie ausgesprochen werden, und das nur im Freien. Armageddon fügt jeder Kreatur auf der Karte, inklusive Deinen Charakteren, 50 Schadenpunkte plus 1 Schadenpunkt für jeden Fähigkeitspunkt in Schattenmagie zu, den Dein Charakter hat.	Kann nur einmal pro Tag angewendet werden	Nur zweimal pro Tag	Nur dreimal pro Tag				
99	11	Schwarze Umhüllung	Magic	SchUmh	200	200	200	Dieser Zauberspruch versucht, die Mächte der Dunkelheit auf seine Opfer zu konzentrieren, daher der Name Schwarze Umhüllung. Das Ziel des Zaubers leidet unter zufälligen Wirkungen - obwohl einige Kreaturen immun gegen diesen Zauberspruch sind.	Langsame Erholungsrate	Schnellere Erholungsrate	Schnellste Erholungsrate				
															
															
															
															
															
															
